UIC;Nom de la gare;adresse postale;Type;Région;Latitude;Longitude
181057;Tagolsheim;;Gare Ferroviaire de Voyageurs;Alsace;47,65482;7,26391
491043;Taillebourg;;Gare Ferroviaire de Voyageurs;Poitou-Charentes;45,83078;-0,64501
761163;Tain-l'Hermitage-Tournon;Place du 19 mars 1962  26600 Tain l'Hermitage;Gare Ferroviaire de Voyageurs;Rhône-Alpes;45,07237;4,83992
141598;Tantonville;;Gare Ferroviaire de Voyageurs;Lorraine;48,48393;6,12921
615674;Tanus;;Gare Ferroviaire de Voyageurs;Midi-Pyrénées;44,10026;2,31483
721472;Tarare;Place de la Gare 69170 Tarare;Gare Ferroviaire de Voyageurs;Rhône-Alpes;45,88981;4,43902
765354;Tarascon;Bd Gustave Desplaces 13150 Tarascon;Gare Ferroviaire de Voyageurs;Provence-Alpes-CA;43,80062;4,65761
611590;Tarascon sur Ariège;Rue de la gare 09400 Tarascon-sur-Ariège;Gare Ferroviaire de Voyageurs;Midi-Pyrénées;42,84937;1,60007
671008;Tarbes;25, Avenue Marechal Joffre 65000 Tarbes;Gare Ferroviaire de Voyageurs;Midi-Pyrénées;43,24033;0,06917
721514;Tassin;;Gare Ferroviaire de Voyageurs;Rhône-Alpes;45,76174;4,75897
276634;Taverny;;Gare Ferroviaire de Voyageurs;Ile de France;49,02514;2,22220
396051;Teillé (Sarthe);;Gare Ferroviaire de Voyageurs;Pays de la Loire;48,18125;0,19129
286625;Templeuve;;Gare Ferroviaire de Voyageurs;Nord Pas de Calais;50,52897;3,17590
743757;Tenay-Hauteville;;Gare Ferroviaire de Voyageurs;Rhône-Alpes;45,92230;5,50096
756882;Tende;;Gare Ferroviaire de Voyageurs;Provence-Alpes-CA;44,08982;7,59432
296442;Tergnier;Place Vaucanson  02700 Tergnier;Gare Ferroviaire de Voyageurs;Picardie;49,65865;3,29649
721811;Ternand;;Gare Ferroviaire de Voyageurs;Rhône-Alpes;45,94493;4,53330
594408;Terrasson;Rue de l'industrie 24120 Terrasson;Gare Ferroviaire de Voyageurs;Aquitaine;45,13583;1,30045
615245;Tessonnières;;Gare Ferroviaire de Voyageurs;Midi-Pyrénées;43,92840;1,93742
193342;Teting;;Gare Ferroviaire de Voyageurs;Lorraine;49,05163;6,66422
313882;TGV Haute-Picardie;Pôle Haute Picardie 80200 PERONNE;Gare Ferroviaire de Voyageurs;Picardie;49,86115;2,83233
182568;Thann;;Gare Ferroviaire de Voyageurs;Alsace;47,80911;7,10701
472605;Thann Centre;;Gare Ferroviaire de Voyageurs;Alsace;47,81001;7,10118
182881;Thann Nord;;Gare Ferroviaire de Voyageurs;Alsace;47,81312;7,09402
144097;Thaon;;Gare Ferroviaire de Voyageurs;Lorraine;48,24471;6,41596
543199;Theillay (Loir-et-Cher);;Gare Ferroviaire de Voyageurs;Centre;47,31395;2,04430
713099;Thenissey;;Gare Ferroviaire de Voyageurs;Bourgogne;47,49437;4,62357
595579;Thenon;Gare SNCF 24210 Thenon;Gare Ferroviaire de Voyageurs;Aquitaine;45,15990;1,06911
757583;Théoule sur Mer;;Gare Ferroviaire de Voyageurs;Provence-Alpes-CA;43,51423;6,93671
328195;Thésée;;Gare Ferroviaire de Voyageurs;Centre;47,32211;1,31224
316125;Thézy-Glimont;;Gare Ferroviaire de Voyageurs;Picardie;49,81189;2,43602
